SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;
1331 ;0:18.90 ;4692 ;8 ;94;34;76;1.498 ;16.5 ;22.8 ;23 ;13.5 ;38 ;4.19 ;31.9 ;0 ;0 ;7.4;44.8;
1331 ;0:19.00 ;4142 ;14 ;94;34;85;1.498 ;16.9 ;20.1 ;3 ;13.6 ;18 ;4.05 ;31.3 ;0 ;0 ;6.2;36.6;
1331 ;0:19.10 ;3997 ;45 ;94;34;93;1.498 ;15.7 ;19.4 ;8 ;13.5 ;23 ;4.53 ;30.0 ;0 ;0 ;7.0;44.5;
1331 ;0:19.20 ;4004 ;75 ;94;34;95;1.498 ;16.7 ;19.4 ;1 ;13.3 ;16 ;5.07 ;30.0 ;0 ;0 ;7.7;47.5;
1331 ;0:19.30 ;4005 ;79 ;94;34;95;1.498 ;16.5 ;19.4 ;2 ;13.6 ;17 ;5.10 ;30.0 ;0 ;0 ;7.4;44.8;
1331 ;0:19.40 ;3701 ;79 ;94;34;95;1.471 ;18.2 ;17.9 ;0 ;13.5 ;-1 ;4.94 ;30.0 ;0 ;0 ;6.9;37.9;
1331 ;0:19.50 ;3685 ;73 ;94;34;95;1.469 ;17.0 ;17.9 ;0 ;13.6 ;5 ;4.87 ;30.0 ;0 ;0 ;6.8;43.0;
1331 ;0:19.60 ;4217 ;58 ;94;34;93;1.259 ;16.2 ;20.5 ;11 ;13.0 ;26 ;4.92 ;31.0 ;0 ;0 ;8.1;50.0;
1331 ;0:19.70 ;4812 ;39 ;94;34;85;1.037 ;15.1 ;23.3 ;39 ;13.5 ;54 ;4.65 ;33.6 ;0 ;0 ;8.4;55.6;
1331 ;0:19.80 ;4955 ;30 ;94;34;80;0.929 ;14.7 ;24.0 ;40 ;13.6 ;63 ;4.25 ;34.4 ;0 ;0 ;7.9;53.7;
1331 ;0:19.90 ;5004 ;26 ;94;34;76;0.902 ;14.1 ;24.3 ;40 ;13.2 ;72 ;4.03 ;34.3 ;0 ;0 ;7.6;53.9;
1331 ;0:20.00 ;5191 ;18 ;94;34;70;0.924 ;14.3 ;25.2 ;40 ;13.6 ;76 ;3.56 ;37.7 ;0 ;0 ;7.0;48.9;
1331 ;0:20.10 ;5479 ;16 ;94;34;67;0.986 ;13.7 ;26.6 ;40 ;13.5 ;94 ;3.72 ;42.3 ;0 ;0 ;7.7;56.2;
1331 ;0:20.20 ;5926 ;15 ;94;34;63;0.966 ;13.6 ;28.8 ;40 ;13.6 ;111 ;3.76 ;49.3 ;0 ;0 ;8.4;61.7;
1331 ;0:20.30 ;6508 ;15 ;94;34;60;0.845 ;11.8 ;31.6 ;40 ;13.5 ;167 ;3.37 ;52.4 ;0 ;0 ;8.3;70.3;
1331 ;0:20.40 ;6803 ;15 ;94;34;61;0.834 ;20.1 ;33.0 ;40 ;13.4 ;64 ;3.14 ;53.8 ;0 ;0 ;8.1;40.9;
1331 ;0:20.50 ;6931 ;15 ;94;34;66;0.952 ;24.6 ;33.6 ;21 ;13.6 ;36 ;3.04 ;54.4 ;0 ;0 ;8.0;32.5;
1331 ;0:20.60 ;6694 ;23 ;94;34;68;0.931 ;28.2 ;32.5 ;0 ;13.3 ;15 ;3.41 ;47.4 ;0 ;0 ;8.6;30.4;
1331 ;0:20.70 ;7062 ;23 ;94;34;68;0.883 ;24.6 ;34.3 ;24 ;13.4 ;39 ;3.33 ;52.3 ;0 ;0 ;8.9;91.7;
